iter	Passed	Remaining
193	1154	2713
194	1161	2709
195	1168	2705
196	1173	2697
197	1178	2691
198	1187	2690
199	1193	2685
200	1202	2687
201	1210	2685
202	1217	2680
203	1223	2674
204	1229	2668
205	1234	2660
206	1239	2652
207	1245	2646
208	1251	2641
209	1257	2633
210	1262	2625
211	1267	2619
212	1272	2611
213	1278	2604
214	1284	2599
215	1291	2593
216	1296	2586
217	1300	2577
218	1306	2571
219	1313	2567
220	1319	2560
221	1323	2552
222	1331	2549
223	1338	2546
224	1355	2560
225	1362	2555
226	1369	2552
227	1375	2546
228	1381	2538
229	1388	2536
230	1395	2530
231	1400	2523
232	1407	2518
233	1414	2514
234	1422	2511
235	1428	2506
236	1436	2502
237	1442	2497
238	1449	2491
239	1454	2485
240	1460	2478
241	1465	2471
242	1470	2463
243	1476	2457
244	1481	2449
245	1487	2443
246	1493	2436
247	1499	2430
248	1505	2424
249	1509	2415
250	1515	2409
251	1522	2404
252	1527	2396
253	1532	2389
254	1539	2384
255	1545	2379
256	1551	2372
257	1556	2365
258	1563	2360
259	1570	2355
260	1577	2350
261	1585	2347
262	1593	2344
263	1600	2339
264	1606	2333
265	1611	2326
266	1618	2321
267	1624	2315
268	1631	2310
269	1637	2304
270	1642	2296
271	1648	2291
272	1655	2285
273	1661	2280
274	1667	2274
275	1672	2266
276	1678	2259
277	1684	2253
278	1688	2245
279	1694	2238
280	1700	2233
281	1706	2226
282	1711	2219
283	1716	2212
284	1723	2206
285	1728	2199
286	1733	2192
287	1739	2187
288	1745	2180
289	1750	2172
290	1755	2165
291	1761	2159
292	1767	2153
293	1771	2145
294	1777	2139
295	1786	2136
296	1793	2131
297	1798	2124
298	1803	2117
299	1808	2110
300	1813	2103
301	1818	2095
302	1825	2090
303	1833	2086
304	1839	2080
305	1844	2073
306	1849	2066
307	1854	2059
308	1859	2052
309	1864	2044
310	1870	2038
311	1875	2031
312	1880	2024
313	1888	2020
314	1895	2016
315	1902	2010
316	1909	2006
317	1916	2001
318	1922	1994
319	1928	1988
320	1933	1981
321	1940	1976
322	1947	1971
323	1954	1966
324	1961	1961
325	1967	1955
326	1973	1949
327	2029	1992
328	2042	1992
329	2048	1986
330	2054	1979
331	2061	1974
332	2068	1968
333	2075	1963
334	2081	1957
335	2088	1952
336	2095	1946
337	2102	1940
338	2114	1939
339	2132	1944
340	2138	1937
341	2145	1932
342	2152	1926
343	2160	1921
344	2169	1918
345	2178	1914
346	2184	1907
347	2195	1904
348	2201	1898
349	2208	1893
350	2214	1886
351	2222	1881
352	2229	1875
353	2235	1869
354	2243	1864
355	2250	1858
356	2256	1851
357	2262	1845
358	2269	1839
359	2275	1832
360	2280	1825
361	2285	1818
362	2291	1811
363	2297	1805
364	2303	1798
365	2307	1790
366	2313	1784
367	2319	1777
368	2324	1770
369	2329	1762
370	2335	1756
371	2340	1749
372	2345	1742
373	2351	1735
374	2356	1728
375	2363	1722
376	2368	1715
377	2375	1709
378	2381	1702
379	2386	1695
380	2396	1691
381	2401	1685
382	2406	1677
383	2412	1671
384	2419	1665
385	2424	1658
386	2429	1651
387	2435	1644
388	2440	1637
389	2446	1630
390	2452	1624
391	2458	1617
392	2463	1610
393	2468	1603
394	2474	1597
395	2479	1590
396	2484	1583
397	2489	1576
398	2496	1570
399	2501	1563
400	2506	1556
401	2512	1549
402	2517	1542
403	2522	1535
404	2528	1529
405	2533	1522
406	2538	1515
407	2544	1509
408	2550	1503
409	2556	1496
410	2562	1490
411	2569	1484
412	2577	1478
413	2586	1474
414	2595	1470
415	2602	1463
416	2610	1458
417	2617	1452
418	2627	1448
419	2634	1442
420	2641	1436
421	2647	1430
422	2658	1426
423	2663	1419
424	2670	1413
425	2677	1407
426	2688	1404
427	2696	1398
428	2703	1392
429	2709	1386
430	2716	1380
431	2723	1374
432	2734	1370
433	2741	1364
434	2747	1358
435	2755	1352
436	2764	1347
437	2769	1340
438	2776	1334
439	2786	1329
440	2796	1325
441	2805	1320
442	2813	1314
443	2821	1308
444	2835	1306
445	2843	1300
446	2851	1294
447	2857	1288
448	2864	1282
449	2870	1275
450	2876	1269
451	2884	1263
452	2895	1259
453	2900	1252
454	2908	1246
455	2914	1240
456	2923	1234
457	2930	1228
458	2937	1222
459	3003	1240
460	3014	1235
461	3031	1233
462	3066	1238
463	3077	1233
464	3085	1227
465	3094	1221
466	3116	1221
467	3133	1218
468	3155	1217
469	3168	1213
470	3185	1210
471	3192	1203
472	3204	1198
473	3219	1195
474	3226	1188
475	3232	1181
476	3238	1174
477	3244	1167
478	3252	1161
479	3259	1154
480	3264	1147
481	3270	1139
482	3276	1132
483	3283	1126
484	3289	1119
485	3295	1112
486	3302	1105
487	3313	1100
488	3320	1093
489	3326	1086
490	3334	1079
491	3343	1073
492	3350	1067
493	3357	1060
494	3364	1053
495	3371	1046
496	3379	1040
497	3386	1033
498	3393	1026
499	3400	1020
500	3408	1013
501	3418	1007
502	3424	1000
503	3431	993
504	3436	986
505	3443	979
506	3450	973
507	3457	966
508	3462	959
509	3467	951
510	3473	944
511	3478	937
512	3483	930
513	3489	923
514	3495	916
515	3500	909
516	3507	902
517	3512	895
518	3518	887
519	3522	880
520	3528	873
521	3535	866
522	3540	859
523	3545	852
524	3551	845
525	3556	838
526	3562	831
527	3567	824
528	3573	817
529	3579	810
530	3584	803
531	3589	796
532	3596	789
533	3601	782
534	3606	775
535	3612	768
536	3619	761
537	3626	755
538	3633	748
539	3638	741
540	3643	734
541	3650	727
542	3656	720
543	3661	713
544	3667	706
545	3674	699
546	3680	693
547	3685	685
548	3690	678
549	3696	672
550	3701	664
551	3706	658
552	3714	651
553	3719	644
554	3725	637
555	3730	630
556	3735	623
557	3741	616
558	3745	609
559	3750	602
560	3797	602
561	3838	601
562	3866	597
563	3872	590
564	3878	583
565	3886	576
566	3895	570
567	3919	565
568	3929	559
569	3936	552
570	3942	545
571	3947	538
572	3952	531
573	3958	524
574	3964	517
575	3970	510
576	3976	503
577	3981	495
578	3987	488
579	3993	481
580	3997	474
581	4003	467
582	4008	460
583	4013	453
584	4019	446
585	4026	439
586	4032	432
587	4037	425
588	4042	418
589	4049	411
590	4055	404
591	4060	397
592	4066	390
593	4072	383
594	4080	377
595	4087	370
596	4093	363
597	4097	356
598	4104	349
599	4110	342
600	4115	335
601	4121	328
602	4127	321
603	4134	314
604	4141	308
605	4145	301
606	4151	294
607	4156	287
608	4161	280
609	4166	273
610	4171	266
611	4177	259
612	4182	252
613	4187	245
614	4192	238
615	4197	231
616	4203	224
617	4208	217
618	4214	211
619	4222	204
620	4228	197
621	4236	190
622	4241	183
623	4247	176
624	4251	170
625	4257	163
626	4263	156
627	4268	149
628	4274	142
629	4279	135
630	4285	129
631	4290	122
632	4295	115
633	4301	108
634	4305	101
635	4310	94
636	4316	88
637	4323	81
638	4328	74
639	4333	67
640	4339	60
641	4344	54
642	4350	47
643	4356	40
644	4362	33
645	4368	27
646	4373	20
647	4378	13
648	4383	6
649	4388	0
