iter	Accuracy	Logloss
0	0.9484626647	0.6352152047
1	0.9551976574	0.5915585424
2	0.9592972182	0.5442984307
3	0.9601756955	0.5000123359
4	0.9622254758	0.454901102
5	0.9669106881	0.4233435632
6	0.9674963397	0.3936351663
7	0.9672035139	0.367059723
8	0.9698389458	0.339867446
9	0.9698389458	0.3168476456
10	0.9783308931	0.2942171743
11	0.9777452416	0.2763661479
12	0.9800878477	0.2580402061
13	0.9786237189	0.2420118575
14	0.9786237189	0.2267876891
15	0.9783308931	0.2141825499
16	0.9800878477	0.2051844163
17	0.9803806735	0.1948684958
18	0.9806734993	0.1865533884
19	0.9827232796	0.1763487373
20	0.9833089312	0.1665122782
21	0.9838945827	0.1594636491
22	0.9838945827	0.1506736976
23	0.9841874085	0.1442538609
24	0.9844802343	0.1387164336
25	0.98477306	0.1357503324
26	0.98477306	0.1292240124
27	0.9853587116	0.1251752951
28	0.9856515373	0.119371215
29	0.9853587116	0.1156547923
30	0.9853587116	0.1115611204
31	0.9859443631	0.1074367655
32	0.9859443631	0.1036852744
33	0.9862371889	0.100293402
34	0.9862371889	0.09693937631
35	0.9865300146	0.09444890482
36	0.9868228404	0.09210090121
37	0.9874084919	0.0892012839
38	0.9877013177	0.08646718788
39	0.9877013177	0.08416616511
40	0.9877013177	0.08207707097
41	0.9882869693	0.08002869019
42	0.9882869693	0.0788444842
43	0.988579795	0.0767045378
44	0.9882869693	0.07460910852
45	0.9888726208	0.07374487126
46	0.9891654466	0.0721028662
47	0.9894582723	0.07124513435
48	0.9900439239	0.07041993383
49	0.9906295754	0.06905957036
50	0.9912152269	0.06804145907
51	0.9915080527	0.06660040935
52	0.9909224012	0.06568446254
53	0.9912152269	0.06463247787
54	0.9915080527	0.06347735003
55	0.9915080527	0.0622387731
56	0.9915080527	0.06149226788
57	0.9912152269	0.06044047194
58	0.9909224012	0.05949572766
59	0.9909224012	0.05913077744
60	0.9909224012	0.05820857522
61	0.9909224012	0.05750388264
62	0.9912152269	0.05706345499
